epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.304,1.42249,2.7491,1.33014,0.35169,0.33333,0.22289,0.11346,1.39696,3.67143,1.27631,0.000651515,0.000651515,0.000651515
2,510.959,1.57536,2.18755,1.36864,0.64107,0.52874,0.56519,0.28653,1.64161,2.86534,1.42639,0.00129208,0.00129208,0.00129208
3,728.721,1.51774,1.98129,1.32712,0.60911,0.64481,0.58908,0.26946,1.6108,2.28333,1.34552,0.00190625,0.00190625,0.00190625
4,883.286,1.56768,1.82181,1.39944,0.63695,0.72599,0.6552,0.30707,1.71063,2.39738,1.52091,0.0018812,0.0018812,0.0018812
5,1032.55,1.54425,1.62654,1.37214,0.42442,0.34753,0.28156,0.1207,1.89334,4.04329,1.79332,0.0018416,0.0018416,0.0018416
6,1293.07,1.50558,1.51978,1.34316,0.71068,0.72414,0.72947,0.33086,1.54873,2.00755,1.47425,0.001802,0.001802,0.001802
7,1455.2,1.5722,1.46618,1.38304,0.78417,0.8046,0.80515,0.37446,1.61413,1.61938,1.43645,0.0017624,0.0017624,0.0017624
8,1598.8,1.44998,1.32771,1.32302,0.92015,0.79473,0.88277,0.46396,1.47988,1.43951,1.31462,0.0017228,0.0017228,0.0017228
9,1738.18,1.47739,1.30818,1.35133,0.9112,0.83908,0.90431,0.5108,1.51245,1.22791,1.35043,0.0016832,0.0016832,0.0016832
10,1878.71,1.42491,1.21833,1.28549,0.84412,0.83908,0.86866,0.46025,1.53148,1.24862,1.38361,0.0016436,0.0016436,0.0016436
11,2019.67,1.43153,1.19871,1.33563,0.88205,0.85962,0.90271,0.46794,1.47995,1.20538,1.34659,0.001604,0.001604,0.001604
12,2158.57,1.40179,1.14019,1.26927,0.86707,0.73563,0.82207,0.46055,1.5534,1.19823,1.41252,0.0015644,0.0015644,0.0015644
13,2304.18,1.37092,1.07269,1.2591,0.87151,0.77963,0.86971,0.46471,1.54229,1.19706,1.35613,0.0015248,0.0015248,0.0015248
14,2446.79,1.36346,1.03022,1.24771,0.85513,0.85057,0.88788,0.44423,1.50159,1.11,1.36387,0.0014852,0.0014852,0.0014852
15,2589.9,1.35486,1.02485,1.26237,0.91557,0.87249,0.90275,0.47325,1.57462,0.98842,1.34667,0.0014456,0.0014456,0.0014456
16,2732.66,1.36422,1.01166,1.28471,0.87989,0.84204,0.87017,0.46883,1.44728,1.04623,1.29651,0.001406,0.001406,0.001406
17,2905.92,1.30233,0.98738,1.22696,0.9381,0.7931,0.91098,0.48076,1.47174,1.07876,1.32809,0.0013664,0.0013664,0.0013664
18,3076.12,1.26989,0.93264,1.2204,0.89131,0.81609,0.88745,0.47296,1.52821,0.99396,1.35923,0.0013268,0.0013268,0.0013268
19,3246.74,1.31979,0.98472,1.24,0.87354,0.86207,0.89531,0.44999,1.59958,1.00891,1.34706,0.0012872,0.0012872,0.0012872
20,3419.85,1.34493,0.91697,1.25276,0.89402,0.87267,0.88695,0.47919,1.49136,0.96038,1.36192,0.0012476,0.0012476,0.0012476
21,3579.28,1.33973,0.87566,1.22356,0.88818,0.86207,0.86665,0.44723,1.56353,0.91998,1.36017,0.001208,0.001208,0.001208
22,3742.36,1.29782,0.85962,1.20685,0.88475,0.86207,0.91559,0.4861,1.61501,0.93008,1.36212,0.0011684,0.0011684,0.0011684
23,3897.44,1.29554,0.89699,1.19047,0.84723,0.89243,0.91188,0.47952,1.46525,0.87767,1.30711,0.0011288,0.0011288,0.0011288
24,4050,1.22826,0.85183,1.16998,0.86861,0.87356,0.91038,0.49845,1.52174,0.85476,1.33276,0.0010892,0.0010892,0.0010892
25,4201.95,1.21838,0.85578,1.18255,0.91933,0.8046,0.89758,0.50773,1.50633,0.86926,1.33396,0.0010496,0.0010496,0.0010496
26,4425.14,1.23193,0.82407,1.18027,0.89031,0.87356,0.91854,0.51208,1.44857,0.80624,1.32234,0.00101,0.00101,0.00101
27,4706.35,1.171,0.90316,1.15655,0.93958,0.82759,0.92513,0.51011,1.48879,0.85113,1.32475,0.0009704,0.0009704,0.0009704
28,5022.16,1.24777,0.83007,1.20386,0.8392,0.94253,0.9126,0.47021,1.43098,0.83697,1.31901,0.0009308,0.0009308,0.0009308
29,5284.67,1.23884,0.80206,1.20016,0.90644,0.89655,0.94771,0.52507,1.52541,0.796,1.34774,0.0008912,0.0008912,0.0008912
30,5545.93,1.16776,0.76961,1.1584,0.90517,0.87773,0.92843,0.53487,1.43556,0.80602,1.28973,0.0008516,0.0008516,0.0008516
31,5695.39,1.15938,0.73877,1.14483,0.90448,0.87077,0.92656,0.52138,1.54078,0.82024,1.32567,0.000812,0.000812,0.000812
32,5844.36,1.14512,0.74037,1.14504,0.89538,0.88506,0.93351,0.54488,1.45315,0.76475,1.30524,0.0007724,0.0007724,0.0007724
33,5990.26,1.12,0.70839,1.12464,0.89294,0.8628,0.91598,0.55869,1.43544,0.74387,1.29931,0.0007328,0.0007328,0.0007328
34,6135.27,1.11766,0.71837,1.1345,0.87943,0.89655,0.92164,0.53326,1.4651,0.77672,1.30824,0.0006932,0.0006932,0.0006932
35,6282.16,1.12852,0.69159,1.16894,0.91629,0.88079,0.91445,0.53044,1.44026,0.79418,1.32326,0.0006536,0.0006536,0.0006536
36,6426.13,1.12217,0.69775,1.1304,0.87078,0.93103,0.93073,0.52411,1.48641,0.775,1.32318,0.000614,0.000614,0.000614
37,6576.12,1.14187,0.71449,1.14745,0.91746,0.89432,0.92362,0.53299,1.45029,0.78524,1.30228,0.0005744,0.0005744,0.0005744
38,6723.98,1.12019,0.6912,1.12232,0.90876,0.82759,0.90663,0.52424,1.48693,0.76985,1.30939,0.0005348,0.0005348,0.0005348
39,6870.5,1.08743,0.66032,1.10914,0.90404,0.88506,0.92999,0.5495,1.3873,0.72696,1.2724,0.0004952,0.0004952,0.0004952
40,7015.3,1.07852,0.65637,1.12713,0.896,0.91954,0.929,0.50526,1.49307,0.74578,1.29568,0.0004556,0.0004556,0.0004556
41,7192.38,1.03469,0.64528,1.09258,0.90654,0.89199,0.92102,0.50535,1.4585,0.71425,1.31059,0.000416,0.000416,0.000416
42,7349.43,1.03783,0.63428,1.0774,0.85782,0.88506,0.92975,0.51009,1.46867,0.75322,1.31558,0.0003764,0.0003764,0.0003764
43,7508.23,1.05291,0.61536,1.10889,0.84061,0.90805,0.92044,0.52669,1.40134,0.77729,1.29185,0.0003368,0.0003368,0.0003368
44,7655.12,1.00909,0.59245,1.09078,0.90826,0.85057,0.91001,0.50574,1.44829,0.76491,1.32389,0.0002972,0.0002972,0.0002972
45,7811.81,0.9962,0.58161,1.05709,0.88707,0.9029,0.91542,0.53591,1.4187,0.74488,1.31579,0.0002576,0.0002576,0.0002576
46,7972.38,1.00001,0.58257,1.08284,0.91463,0.88506,0.91301,0.538,1.39413,0.75607,1.2946,0.000218,0.000218,0.000218
47,8142.11,0.99313,0.57081,1.05443,0.91589,0.88506,0.91472,0.52102,1.42165,0.75539,1.30269,0.0001784,0.0001784,0.0001784
48,8307.11,0.97442,0.56503,1.05063,0.91292,0.88506,0.91622,0.54775,1.3728,0.71961,1.29447,0.0001388,0.0001388,0.0001388
49,8474.39,0.95595,0.55758,1.05535,0.92771,0.88503,0.91927,0.54975,1.3658,0.72512,1.27996,9.92e-05,9.92e-05,9.92e-05
50,8643.12,0.95216,0.55525,1.06787,0.92699,0.87572,0.9168,0.54079,1.38307,0.72652,1.27642,5.96e-05,5.96e-05,5.96e-05
